Run Number	BLP1	BLP2	Spin	Beam Intensity	GR Trigger	GR Trigger Live	GR Clock	GR Clock Live	LAS Trigger (Broken Channel)	LAS Trigger Live	LAS Clock	LAS Clock Live	GR Singles Event	LAS Singles Event	GR-LAS Coincidence	LAS Singles Sampling	LAS Trigger	GR Singles Sampling	N/U	BLP1 Left	BLP1 Right	BLP1 Up	BLP1 Down	BLP1 Left  Chance	BLP1 Right Chance	BLP1 Up    Chance	BLP1 Down  Chance	BLP2 Left	BLP2 Right	BLP2 Up	BLP2 Down	BLP2 Left  Chance	BLP2 Right Chance	BLP2 Up    Chance	BLP2 Down  Chance	BLP Clock	BLP Clock Live	BLP Trigger	BLP Trigger Live	Akimune Up	Akimune Down	Akimune Left	Akimune Right	Beam Loss Monitor 1	Beam Loss Monitor 2	Beam Loss Monitor 3	GR Scintillator 1	BI Range #1	BI Range #2	BI Range #3	BI Range #4	V830 Test #0	V830 Test #1	V830 Test #2	V830 Test #3	V830 Test #4	V830 Test #5	V830 Test #6	V830 Test #7	V830 Test #8	V830 Test #9	V830 Test #10	V830 Test #11	V830 Test #12	V830 Test #13	V830 Test #14	V830 Test #15	V830 Test #16	V830 Test #17	V830 Test #18	V830 Test #19	V830 Test #20	V830 Test #21	V830 Test #22	V830 Test #23	V830 Test #24	V830 Test #25	V830 Test #26	V830 Test #27	V830 Test #28	V830 Test #29	V830 Test #30	V830 Test #31
9999	IN	IN	UNPOL	83886075	83886075	83886075	83886075	83886075	83886075	83886075	83886075	83886075	83886075	83886075	83886075	83886075	83886075	83886075	83886075	505	535	1108	690	139	173	782	330	445	433	422	444	6	9	5	3	50246	3204	5990	361	8392	2469	4119	1971	0	998	0	0	130231	137992	0	138087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2671	16840	16043	50246	47927	597716	533853	50246	48421	14504	532324	1529	5	0	1450	0
9999	OUT	OUT	UNPOL	8160	50814	48499	171045	163999	0	1645558	171045	165526	44201	1641284	4274	6565	1836912	4420	0	106	114	434	332	105	125	446	301	0	0	0	0	0	0	0	0	171047	77124	1956	719	24953	7541	13365	5839	0	3294	1	0	432627	456753	0	457007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8160	50814	48499	171045	163999	1836912	1645558	171045	165526	44201	1641284	4274	17	0	4420	0
2092	IN	IN	UNPOL	1887185	12003956	11398406	36128893	34420692	0	384983613	36128893	34777461	10310028	383901682	1081915	1535608	431576658	1031001	0	297057	328330	504688	383819	51901	57681	248067	107707	293865	289300	295784	295644	3639	3625	3578	3654	36128644	3104646	3159307	252923	5212369	1627688	2341604	1058074	0	666500	367	0	93220571	98665893	0	98688347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1887185	12003957	11398406	36128893	34420692	431576671	384983612	36128894	34777461	10310028	383901682	1081915	3600	0	1031001	0
2093	IN	IN	UNPOL	1020317	9547550	8832650	18104172	16823888	0	291227034	18104172	17094132	7594958	289997126	1229896	1159989	332649810	759493	0	158470	173856	256959	200903	25514	28214	118064	50999	156803	153982	157520	157496	2159	2132	1985	2221	18104078	1468903	1643123	127377	2294276	702103	1181908	493493	0	331843	132	0	52193778	55997649	0	55866107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020317	9547551	8832650	18104174	16823888	332649827	291227034	18104174	17094131	7594958	289997126	1229896	1804	0	759493	0
2094	IN	IN	UNPOL	923969	7955788	7427948	17913299	16791868	0	243951192	17913299	17019036	6522994	243051657	899524	972208	277272886	652300	0	134492	146991	168038	156327	12634	13492	44547	21164	143074	140678	144265	143317	1682	1844	1702	1781	17913187	1750183	1274923	123801	1874043	593806	961970	378767	0	318242	54	0	49039893	52181517	0	52035475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	923969	7955789	7427948	17913299	16791868	277272899	243951192	17913299	17019036	6522994	243051657	899524	1785	0	652300	0
2095	IN	IN	UNPOL	1823547	13938004	13108482	36057239	34041427	0	460605968	36057239	34462607	11624839	459131345	1474605	1836528	519704104	1162483	0	259576	284753	388313	320974	35494	39333	158550	70624	269846	267635	272752	271193	3079	3169	3192	3372	36056928	3480145	2647617	249508	6048912	1972391	2324036	919414	0	611031	228	0	95966409	101332977	0	100986267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823547	13938004	13108482	36057239	34041427	519704121	460605968	36057239	34462607	11624839	459131342	1474605	3593	0	1162483	0
2096	IN	IN	UNPOL	857166125	865070365	864622617	885493288	884165561	872415180	1175068323	902260469	901213817	880573886	1174249819	873233671	873622520	1210984094	873231050	872415180	217531	237881	318462	268033	28857	32010	124847	56104	227660	225994	230625	229342	2640	2732	2502	2711	30367903	2969404	2204839	209837	3928248	1256477	1673729	741237	0	493483	161	0	76720242	80242200	0	79929456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1549012	9566575	9113812	30368145	29021868	343515851	307101778	30368145	29306722	8280095	306273091	828673	3026	0	828008	0
2097	OUT	OUT	UNPOL	461798	2939206	2799403	9156235	8742791	0	96520149	9156235	8831730	2537678	96259987	260160	385040	107961587	253768	0	422	514	1544	1237	360	446	1361	1115	0	1	0	0	0	0	0	0	9156161	8336776	6996	6277	914930	326021	293642	101941	0	150026	23	0	22895039	23172796	0	23139649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461798	2939206	2799403	9156235	8742791	107961590	96520149	9156235	8831730	2537678	96259987	260160	912	0	253768	9
2098	OUT	OUT	UNPOL	159309	1088371	1043272	3863656	3713450	0	34772778	3863656	3745837	957281	34687280	85496	138749	38723562	95729	0	186	229	711	597	142	197	660	557	0	0	0	0	0	0	0	0	3863637	3489467	3276	2865	322869	114418	123239	44247	0	64700	7	0	9356004	9453749	0	9444956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159309	1088371	1043272	3863657	3713450	38723566	34772778	3863657	3745837	957281	34687280	85496	385	0	95729	0
2099	OUT	OUT	UNPOL	22975	279351	266506	903229	864376	0	8909998	903229	872665	242800	8886444	23554	35546	9945017	24280	0	42	69	208	170	51	65	188	159	0	0	0	0	0	0	0	0	903217	796650	950	817	83753	29431	33614	11700	0	15162	2	0	2220038	2243848	0	2241593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22975	279351	266506	903229	864376	9945018	8909998	903229	872665	242800	8886444	23554	90	0	24280	0
